symbol;available_exchanges;currency_base;currency_quote
BCPT/USD;"[""Synthetic""]";BlockMason Credit...;US Dollar
BCV/BTC;"[""Huobi""]";BitCapitalVendor;Bitcoin
BCV/USD;"[""Synthetic""]";BitCapitalVendor;US Dollar
BCX/BTC;"[""Gate.io"",""Huobi""]";BitcoinX;Bitcoin
BCX/USD;"[""Gate.io""]";BitcoinX;US Dollar
BCZERO/BTC;"[""Livecoin""]";Buggyra Coin Zero;Bitcoin
BCZERO/USD;"[""Synthetic""]";Buggyra Coin Zero;US Dollar
BDG/BTC;"[""HitBTC""]";BitDegree;Bitcoin
BDG/ETH;"[""HitBTC""]";BitDegree;Ethereum
BDG/USD;"[""Synthetic""]";BitDegree;US Dollar
BDL/USD;"[""Synthetic""]";Bitdeal;US Dollar
BEAM/BTC;"[""BitForex"",""Gate.io"",""Hotbit""]";Beam;Bitcoin
BEAM/ETH;"[""Gate.io""]";Beam;Ethereum
BEAM/USD;"[""Binance"",""BitForex"",""DragonEX"",""Hotbit""]";Beam;US Dollar
BEE/USD;"[""Synthetic""]";Bee-Token;US Dollar
BELA/BTC;"[""Mercatox""]";Bela;Bitcoin
BELA/USD;"[""Synthetic""]";Bela;US Dollar
BENJI/USD;"[""Synthetic""]";BenjiRolls;US Dollar
BERN/BTC;"[""YoBit""]";BERNcash;Bitcoin
BERN/USD;"[""Synthetic""]";BERNcash;US Dollar
BERRY/BTC;"[""HitBTC""]";Rentberry;Bitcoin
BERRY/ETH;"[""HitBTC""]";Rentberry;Ethereum
BERRY/USD;"[""HitBTC""]";Rentberry;US Dollar
BESTb/BTC;"[""Bitpanda Pro""]";Bitpanda Ecosystem Token;Bitcoin
BESTb/EUR;"[""Bitpanda Pro""]";Bitpanda Ecosystem Token;Euro
BEST/BTC;"[""YoBit""]";BestChain;Bitcoin
BESTb/USD;"[""Synthetic""]";Bitpanda Ecosystem Token;US Dollar
BEST/USD;"[""Synthetic""]";BestChain;US Dollar
BEZ/BTC;"[""TOPBTC""]";Bezop;Bitcoin
BEZ/ETH;"[""TOPBTC""]";Bezop;Ethereum
BEZ/USD;"[""Synthetic""]";Bezop;US Dollar
BFT/BTC;"[""Bittrex"",""DragonEX"",""Huobi"",""Upbit""]";BnkToTheFuture;Bitcoin
BFT/ETH;"[""Huobi""]";BnkToTheFuture;Ethereum
BFT/USD;"[""Synthetic""]";BnkToTheFuture;US Dollar
BIGUP/USD;"[""Synthetic""]";BigUp;US Dollar
BIOB/USD;"[""Synthetic""]";BioBar;US Dollar
BIOS/USD;"[""Synthetic""]";BiosCrypto;US Dollar
BIRDS/USD;"[""Synthetic""]";Birds;US Dollar
BIS/BTC;"[""Graviex""]";Bismuth;Bitcoin
BIS/USD;"[""Synthetic""]";Bismuth;US Dollar
BITB/BTC;"[""YoBit""]";Bean Cash;Bitcoin
BIT/BTC;"[""Livecoin""]";First Bitcoin;Bitcoin
BITB/USD;"[""Synthetic""]";Bean Cash;US Dollar
BITCAR/ETH;"[""IDEX""]";BitCar;Ethereum
BITCAR/USD;"[""Synthetic""]";BitCar;US Dollar
BITG/BTC;"[""Crex24""]";BitGreen;Bitcoin
BITG/USD;"[""Synthetic""]";BitGreen;US Dollar
BITOK/ETH;"[""YoBit""]";Bitok;Ethereum
BITOK/USD;"[""Synthetic""]";Bitok;US Dollar
BITS/BTC;"[""YoBit""]";Bitstar;Bitcoin
BITS/USD;"[""Synthetic""]";Bitstar;US Dollar
BIT/USD;"[""Synthetic""]";First Bitcoin;US Dollar
BITZ/BTC;"[""YoBit""]";Bitz;Bitcoin
BITZ/USD;"[""Synthetic""]";Bitz;US Dollar
BIX/BTC;"[""Bibox""]";Bibox Token;Bitcoin
BIX/ETH;"[""Bibox""]";Bibox Token;Ethereum
BIX/USD;"[""Bibox""]";Bibox Token;US Dollar
BKX/USD;"[""Synthetic""]";BANKEX;US Dollar
BLAZR/BTC;"[""YoBit""]";BlazerCoin;Bitcoin
BLAZR/USD;"[""Synthetic""]";BlazerCoin;US Dollar
BLC/BTC;"[""C-Patex""]";Blakecoin;Bitcoin
BLC/USD;"[""Synthetic""]";Blakecoin;US Dollar
BLITZ/USD;"[""Synthetic""]";Blitzcash;US Dollar
BLK/BTC;"[""Bittrex"",""COINEGG"",""Upbit""]";BlackCoin;Bitcoin
BLK/USD;"[""Synthetic""]";BlackCoin;US Dollar
BLN/BTC;"[""Crex24""]";Bolenum;Bitcoin
BLOCK/BTC;"[""Bittrex""]";Blocknet;Bitcoin
BLOCK/USD;"[""Synthetic""]";Blocknet;US Dollar
BLRY/USD;"[""Synthetic""]";BillaryCoin;US Dollar
BLUE/BTC;"[""YoBit""]";Blue Protocol;Bitcoin
BLUE/ETH;"[""YoBit""]";Blue Protocol;Ethereum
BLUE/USD;"[""Synthetic""]";BLUE;US Dollar
BLU/USD;"[""Synthetic""]";BlueCoin;US Dollar
BLX/USD;"[""Synthetic""]";Blockchain Index;US Dollar
BLZE/BNB;"[""Binance""]";Bluzelle;Binance Coin
BLZE/BTC;"[""Binance""]";Bluzelle;Bitcoin
BLZE/ETH;"[""Binance"",""Gate.io""]";Bluzelle;Ethereum
BLZE/USD;"[""Gate.io"",""Synthetic""]";Bluzelle;US Dollar
